,C1,C2,C3,C4,C5,C6,C7,C8,Timestamp,effort
2337,172954.0625,-16582.77734375,201235.359375,188332.578125,180241.21875,157583.203125,173229.1875,205116.4375,1132353.07718478,1.0
2338,172938.75,-16537.810546875,201266.984375,188362.4375,180220.8125,157575.671875,173207.6875,205092.5,1132370.07918478,1.0
2339,172921.921875,-16514.255859375,201279.421875,188375.359375,180201.5,157562.46875,173187.65625,205074.234375,1132384.08118478,1.0
2340,172914.484375,-16519.642578125,201272.796875,188369.671875,180201.546875,157553.640625,173186.65625,205074.140625,1132411.08318478,1.0
2341,172929.5,-16543.771484375,201258.96875,188355.65625,180231.453125,157565.421875,173214.21875,205102.375,1132438.08518478,1.0
2342,172947.515625,-16587.44921875,201229.453125,188328.1875,180262.828125,157577.71875,173242.734375,205133.984375,1132455.08718478,1.0
2343,172967.984375,-16626.12109375,201203.5625,188299.875,180282.796875,157586.640625,173266.234375,205157.15625,1132469.08918478,1.0
2344,172982.421875,-16644.05078125,201192.875,188286.28125,180297.390625,157599.03125,173280.78125,205171.609375,1132488.09118478,1.0
2345,172988.578125,-16639.806640625,201198.65625,188289.71875,180296.828125,157606.09375,173279.5,205169.375,1132502.09318478,1.0
2346,172977.03125,-16615.7265625,201220.34375,188309.828125,180280.03125,157605.625,173258.796875,205147.25,1132517.09518478,1.0
2347,172956.671875,-16577.1015625,201247.625,188337.78125,180259.578125,157600.140625,173233.765625,205119.296875,1132532.09718478,1.0
2348,172938.75,-16532.994140625,201275.890625,188367.8125,180236.890625,157591.6875,173211.171875,205093.171875,1132543.09918478,1.0
2349,172922.828125,-16507.0078125,201288.765625,188382.03125,180222.25,157580.4375,173197.578125,205076.90625,1132554.10118478,1.0
2350,172919.15625,-16509.8671875,201286.296875,188380.125,180220.625,157573.53125,173201.8125,205082.484375,1132570.10318478,1.0
2351,172925.78125,-16542.912109375,201261.734375,188355.75,180228.25,157569.140625,173215.21875,205101.46875,1132585.10518478,1.0
2352,172949.0,-16586.49609375,201231.546875,188325.5625,180259.4375,157580.78125,173244.546875,205134.84375,1132602.10718478,1.0
2353,172973.890625,-16621.97265625,201209.46875,188303.546875,180288.046875,157596.265625,173274.34375,205164.125,1132625.10918478,1.0
2354,172981.859375,-16644.240234375,201194.21875,188286.65625,180293.921875,157601.28125,173282.078125,205169.421875,1132645.11118478,1.0
2355,172977.46875,-16641.140625,201198.078125,188288.8125,180286.328125,157603.328125,173274.6875,205161.40625,1132672.11318478,1.0
2356,172964.015625,-16615.8203125,201217.390625,188307.359375,180268.6875,157602.703125,173255.515625,205139.953125,1132686.11518478,1.0
2357,172951.484375,-16570.140625,201251.203125,188341.3125,180248.765625,157600.609375,173232.71875,205114.53125,1132703.11718478,1.0
2358,172930.6875,-16531.134765625,201275.75,188366.578125,180222.203125,157583.78125,173202.828125,205083.109375,1132729.11918478,1.0
2359,172914.671875,-16506.1015625,201290.578125,188382.078125,180204.84375,157567.859375,173184.421875,205064.21875,1132740.12118478,1.0
2360,172909.90625,-16504.48046875,201287.765625,188381.453125,180206.515625,157560.3125,173183.75,205066.890625,1132753.12318478,1.0
2361,172918.859375,-16531.18359375,201268.3125,188363.140625,180221.859375,157561.796875,173204.4375,205087.96875,1132767.12518478,1.0
2362,172939.171875,-16573.287109375,201239.03125,188334.765625,180250.328125,157572.578125,173235.25,205120.640625,1132778.12718478,1.0
2363,172960.109375,-16610.671875,201214.0,188308.875,180280.609375,157585.921875,173265.765625,205152.78125,1132788.12918478,1.0
2364,172971.890625,-16636.134765625,201197.21875,188290.09375,180291.390625,157593.453125,173276.546875,205163.453125,1132812.13118478,1.0
2365,172972.40625,-16639.759765625,201195.40625,188286.375,180286.234375,157594.984375,173272.4375,205158.921875,1132825.13318478,1.0
2366,172968.453125,-16608.048828125,201220.671875,188312.359375,180273.890625,157600.046875,173261.234375,205147.53125,1132849.13518478,1.0
2367,172953.671875,-16567.8046875,201249.578125,188340.40625,180246.28125,157593.265625,173235.578125,205121.0625,1132861.13718478,1.0
2368,172933.59375,-16524.650390625,201278.1875,188369.203125,180218.765625,157580.625,173208.6875,205094.5,1132875.13918478,1.0
2369,172923.484375,-16497.232421875,201294.296875,188385.9375,180206.21875,157570.421875,173197.484375,205084.0625,1132886.14118478,1.0
2370,172933.890625,-16493.94140625,201295.453125,188388.03125,180222.96875,157572.765625,173211.21875,205099.21875,1132902.14318478,1.0
2371,172941.75,-16519.642578125,201277.90625,188371.484375,180247.046875,157581.25,173232.765625,205119.296875,1132919.14518478,1.0
2372,172956.0625,-16562.033203125,201249.484375,188344.546875,180274.171875,157592.65625,173259.5625,205144.578125,1132932.14718478,1.0
2373,172976.1875,-16599.41796875,201224.15625,188318.703125,180299.921875,157604.90625,173284.59375,205169.84375,1132946.14918478,1.0
2374,172985.390625,-16624.642578125,201207.375,188297.34375,180308.3125,157610.578125,173293.328125,205178.515625,1132957.15118478,1.0
2375,172988.53125,-16629.650390625,201203.890625,188291.71875,180306.84375,157612.765625,173290.46875,205175.8125,1132977.15318478,1.0
2376,172979.328125,-16616.154296875,201214.390625,188301.109375,180292.109375,157608.578125,173271.859375,205154.34375,1132988.15518478,1.0
2377,172963.3125,-16573.14453125,201246.578125,188331.046875,180268.546875,157604.765625,173244.734375,205124.6875,1133001.15718478,1.0
2378,172938.359375,-16530.181640625,201271.65625,188358.90625,180234.546875,157589.3125,173209.921875,205087.640625,1133011.15918478,1.0
2379,172926.453125,-16495.658203125,201294.109375,188382.6875,180213.46875,157579.921875,173194.140625,205071.421875,1133022.16118478,1.0
2380,172921.390625,-16495.75390625,201291.015625,188380.890625,180208.234375,157569.421875,173191.09375,205071.234375,1133038.16318478,1.0
2381,172922.578125,-16530.037109375,201263.0625,188356.09375,180225.625,157567.0,173207.15625,205086.6875,1133053.16518478,1.0
2382,172940.28125,-16575.671875,201230.125,188324.421875,180262.390625,157578.15625,173242.734375,205121.296875,1133070.16718478,1.0
2383,172965.125,-16606.904296875,201211.328125,188303.921875,180296.828125,157598.609375,173276.546875,205155.78125,1133084.16918478,1.0
2384,172973.5625,-16630.26953125,201195.9375,188286.375,180305.171875,157605.515625,173286.359375,205164.59375,1133102.17118478,1.0
2385,172971.890625,-16636.0390625,201191.734375,188280.65625,180295.671875,157606.8125,173278.78125,205155.296875,1133114.17318478,1.0
2386,172962.40625,-16618.205078125,201204.140625,188291.71875,180276.9375,157600.953125,173256.984375,205132.609375,1133126.17518478,1.0
2387,172950.484375,-16578.72265625,201233.359375,188319.890625,180255.484375,157596.796875,173235.390625,205109.765625,1133140.17718478,1.0
2388,172938.078125,-16532.517578125,201265.890625,188352.515625,180235.078125,157590.6875,173216.546875,205089.109375,1133156.17918478,1.0
2389,172927.828125,-16495.515625,201290.0625,188379.125,180221.15625,157583.828125,173205.734375,205077.859375,1133170.18118478,1.0
2390,172915.671875,-16497.08984375,201284.484375,188375.015625,180217.484375,157572.484375,173203.53125,205077.90625,1133179.18318478,1.0
2391,172920.296875,-16525.841796875,201261.453125,188353.421875,180235.734375,157574.09375,173222.609375,205095.65625,1133190.18518478,1.0
2392,172937.65625,-16570.330078125,201231.59375,188324.1875,180267.5,157584.640625,173255.375,205126.6875,1133204.18718478,1.0
2393,172965.59375,-16600.9921875,201213.140625,188306.0625,180304.03125,157607.328125,173291.75,205163.03125,1133216.18918478,1.0
2394,172978.328125,-16620.685546875,201200.3125,188291.8125,180316.890625,157616.6875,173304.71875,205175.8125,1133226.19118478,1.0
2395,172980.046875,-16623.689453125,201198.3125,188288.515625,180311.03125,157615.828125,173300.953125,205170.5625,1133244.19318478,1.0
2396,172965.96875,-16607.953125,201210.5625,188298.625,180289.953125,157609.671875,173282.453125,205151.4375,1133256.19518478,1.0
2397,172950.34375,-16571.33203125,201238.125,188325.71875,180262.15625,157600.953125,173255.078125,205123.359375,1133279.19718478,1.0
2398,172931.875,-16530.46875,201263.734375,188352.21875,180234.875,157587.359375,173226.328125,205092.890625,1133292.19918478,1.0
2399,172918.953125,-16501.76171875,201281.375,188371.109375,180224.203125,157578.390625,173209.359375,205076.34375,1133307.20118478,1.0
